"","Artist","Followers","Popularity","num_songs","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","id"
"1","Kanye West",13153490,91,49,"chicago rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,"5K4W6rqBFWDnAN6FQUkS6x"
"2","f(x)",926798,57,33,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"3wRA5UYoo08BBKJnzyKkpF"
"3","BTS",27925885,96,31,"k-pop","k-pop boy group",NA,NA,NA,NA,NA,NA,NA,NA,"3Nrfpe0tUJi4K4DXYWgMUX"
"4","Yu Hayami",9144,38,27,"classic city pop","techno kayo",NA,NA,NA,NA,NA,NA,NA,NA,"1EgJAueSbwh56nECF6YQHX"
"5","BoA",552537,62,26,"j-idol","k-pop",NA,NA,NA,NA,NA,NA,NA,NA,"4muJrGMndyYWqZtfk8OWy4"
"6","Justin Timberlake",10200773,84,25,"dance pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,"31TPClRtHm23RisEBtV3X7"
"7","IU",3054871,75,23,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3HqSLMAZ3g3d5poNaI7GOU"
"8","Sakanaction",812474,61,23,"hokkaido indie","j-pop","j-poprock","j-rock","japanese electropop",NA,NA,NA,NA,NA,"0hCWVMGGQnRVfDgmhwLIxq"
"9","Kendrick Lamar",16299357,89,20,"conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,"2YZyLoL8N0Wb9xBt1NhZWg"
"10","Sheena Ringo",966241,61,20,"j-pop","j-rock",NA,NA,NA,NA,NA,NA,NA,NA,"2XjqKvB2Xz9IdyjWPIHaXi"
"11","Red Velvet",4667539,77,19,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"1z4g3DjTBBZKhvAroFlhOM"
"12","Drake",52258047,97,18,"canadian hip hop","canadian pop","hip hop","pop rap","rap","toronto rap",NA,NA,NA,NA,"3TVXtAsR1Inumwj472S9r4"
