Artist,Followers,Popularity,num_songs,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,id
Kanye West,13197953,92,49,chicago rap,rap,NA,NA,NA,NA,NA,NA,NA,NA,5K4W6rqBFWDnAN6FQUkS6x
f(x),930378,57,33,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,3wRA5UYoo08BBKJnzyKkpF
BTS,28253863,97,31,k-pop,k-pop boy group,NA,NA,NA,NA,NA,NA,NA,NA,3Nrfpe0tUJi4K4DXYWgMUX
Yu Hayami,9212,38,27,classic city pop,techno kayo,NA,NA,NA,NA,NA,NA,NA,NA,1EgJAueSbwh56nECF6YQHX
BoA,555224,62,26,j-idol,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,4muJrGMndyYWqZtfk8OWy4
Justin Timberlake,10235715,84,25,dance pop,pop,NA,NA,NA,NA,NA,NA,NA,NA,31TPClRtHm23RisEBtV3X7
IU,3119291,77,23,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,3HqSLMAZ3g3d5poNaI7GOU
Sakanaction,817118,61,23,hokkaido indie,j-pop,j-poprock,j-rock,japanese electropop,NA,NA,NA,NA,NA,0hCWVMGGQnRVfDgmhwLIxq
Sheena Ringo,971200,61,20,j-pop,j-poprock,j-rock,NA,NA,NA,NA,NA,NA,NA,2XjqKvB2Xz9IdyjWPIHaXi
Kendrick Lamar,16345948,89,19,conscious hip hop,hip hop,rap,west coast rap,NA,NA,NA,NA,NA,NA,2YZyLoL8N0Wb9xBt1NhZWg
Red Velvet,4706116,77,19,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,1z4g3DjTBBZKhvAroFlhOM
Drake,52445075,98,18,canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,NA,NA,NA,NA,3TVXtAsR1Inumwj472S9r4
Madonna,4735247,80,18,dance pop,pop,NA,NA,NA,NA,NA,NA,NA,NA,6tbjWDEIzxoDsBA1FuhfPW
Paloalto,20383,54,17,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,2Yv0nlRtzgPl6u0dsS2hFv
YELLOW MAGIC ORCHESTRA,164735,50,17,classic j-rock,electro,proto-techno,shibuya-kei,synthesizer,techno kayo,zolo,NA,NA,NA,2JIf5JxI3ypOSfrfNIIMQE
Lady Gaga,15896566,89,16,dance pop,pop,pop dance,NA,NA,NA,NA,NA,NA,NA,1HY2Jd0NmPuamShAr6KMms
"Royce Da 5'9""",549008,69,16,alternative hip hop,detroit hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,NA,NA,6DVipHzYsPlIoA0DW8Gmns
Wink,47962,46,14,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,43sb4bVUPB5mWHAsm9bdT5
CAPSULE,61310,41,13,japanese dance pop,japanese electropop,shibuya-kei,NA,NA,NA,NA,NA,NA,NA,61KJdJU38zrAW4c3PI9C9N
Gwen Stefani,4426363,78,13,dance pop,europop,hip pop,pop,pop dance,post-teen pop,urban contemporary,NA,NA,NA,4yiQZ8tQPux8cPriYMWUFP
Hikaru Utada,1815896,67,13,classic j-pop,j-pop,japanese singer-songwriter,NA,NA,NA,NA,NA,NA,NA,7lbSsjYACZHn1MSDXPxNF2
Ariana Grande,57038752,98,12,dance pop,pop,post-teen pop,NA,NA,NA,NA,NA,NA,NA,66CXWjxzNUsdJxJ2JdwvnR
Eminem,41247208,94,12,detroit hip hop,hip hop,rap,NA,NA,NA,NA,NA,NA,NA,7dGJo4pcD2V6oG8kP0tJRR
EXO,7214157,76,11,k-pop,k-pop boy group,NA,NA,NA,NA,NA,NA,NA,NA,3cjEqqelV9zb4BYE3qDQ4O
Hopsin,1808563,69,11,conscious hip hop,hip hop,pop rap,rap,NA,NA,NA,NA,NA,NA,7EWU4FhUJM1sZQgQKdENeT
Mondo Grosso,84819,48,11,japanese jazztronica,shibuya-kei,NA,NA,NA,NA,NA,NA,NA,NA,4d2zOuYJHBPJTpVblHEKJb
ONEPIXCEL,6732,29,11,idol rock,j-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,3REyUkjK0a9iovtPazhQvD
Tech N9ne,1877126,75,11,hip hop,kansas city hip hop,pop rap,rap,NA,NA,NA,NA,NA,NA,6UBA15slIuadJ8h2lPRPos
TWICE,7817560,85,11,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,7n2Ycct7Beij7Dj7meI4X0
youra,10161,50,11,k-indie,NA,NA,NA,NA,NA,NA,NA,NA,NA,5q9adPv91NFr8q2ZcKmX0V
BLACKPINK,18673331,89,10,k-pop,k-pop girl group,NA,NA,NA,NA,NA,NA,NA,NA,41MozSoPIsD1dJM0CLPjZF
Gorillaz,6474697,82,10,alternative hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,3AA28KZvwAUcZuOKwyblJQ
Gotan Project,277810,55,10,electronica,jazztronica,neotango,nu jazz,world,NA,NA,NA,NA,NA,44ejFPE33H5aOInxNV2BFP
Hiromi Iwasaki,45778,45,10,classic city pop,kayokyoku,NA,NA,NA,NA,NA,NA,NA,NA,7ef2Bdyd1lXJmutAbN4ZyO
HyunA,1183844,62,10,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,3UwlejyX2b458azZ7eCnHb
Izumi Makura,26026,38,10,japanese chill rap,kyushu indie,NA,NA,NA,NA,NA,NA,NA,NA,012ldd58H1N5UZLxjMzV29
Namie Amuro,813282,63,10,classic j-pop,j-pop,okinawan pop,NA,NA,NA,NA,NA,NA,NA,4BmWSGKG6HiYvLuJvZ9afa
Nicki Minaj,20172637,91,10,dance pop,hip pop,pop,pop dance,pop rap,post-teen pop,queens hip hop,NA,NA,NA,0hCNtLu0JehylgoiP8L4Gh
Rich Brian,1718090,73,10,indonesian hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2IDLDx25HU1nQMKde4n61a
Swervy,8010,41,10,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,0YE7929Kw8hXmap9LKxUiC
TeddyLoid,55676,54,10,otacore,NA,NA,NA,NA,NA,NA,NA,NA,NA,3GfNJrDTZY7voXPDx8gH9I
ATARASHII GAKKO!,18998,47,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4OfU76YhPU04wlmbVFFgTJ
Britney Spears,8425922,83,9,dance pop,pop,pop dance,pop rap,post-teen pop,NA,NA,NA,NA,NA,26dSoYclwsYLMAKD3tpOr4
Kim Wan-sun,1300,21,9,classic korean pop,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,3e0aTvNjIG93ye2YlL90UF
Rihanna,40890553,91,9,barbadian pop,dance pop,pop,pop dance,post-teen pop,r&b,urban contemporary,NA,NA,NA,5pKCCKE2ajJHZ9KAiaK11H
YUKIKA,36650,49,9,k-indie,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,4RfI1z9u2xIc5Qnqac4JbO
Capcom Sound Team,99369,60,8,anime score,japanese vgm,sound team,NA,NA,NA,NA,NA,NA,NA,3w1Q754jb31h5CXQCcnLNL
