track.name,Album_Artist1,Album_Artist2,Album_Artist3,track.duration_ms,track.explicit,track.id,track.popularity,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Track_Artist1,Track_Artist2,Track_Artist3,Track_Artist4,Track_Artist5,Track_Artist6,Track_Artist7,Track_Artist8
1AM 새벽 한 시,Casker,NA,NA,259196,FALSE,5kxFmqWNGEiHfUxdlt9mRD,15,2W4RwbxG9DWa5Y18Fve6Ie,1AM 새벽 한 시,2018-01-27,day,0.647,0.335,3,-9.699,0,0.0382,0.682,2.57e-4,0.108,0.644,180.234,4,Casker,NA,NA,NA,NA,NA,NA,NA
W U H A N,ぬいぐるみクレヨン Lush Crayon,NA,NA,112278,FALSE,0Cqo3oUVrNVDOMTZFv83uY,33,36TxAJXg1qqM2ALaO9FJjz,CoronaWave: コロナウイルス,2020-03-18,day,0.403,0.893,6,-7.331,0,0.141,0.0415,0.0342,0.501,0.615,89.525,4,ぬいぐるみクレヨン Lush Crayon,NA,NA,NA,NA,NA,NA,NA
Blacklist (Feat. LE),HyunA,NA,NA,209737,FALSE,4FNEiAZkTqkdCgcUtBVu9E,37,78Ei6os3WDar0sgVlGz0yJ,A Talk,2014-07-28,day,0.815,0.85,7,-3.595,1,0.0897,0.00749,0,0.324,0.704,104.994,4,HyunA,LE,NA,NA,NA,NA,NA,NA
Red,HyunA,NA,NA,199888,FALSE,1kPJiJ3N8cuw5Kzev8Ilu0,54,78Ei6os3WDar0sgVlGz0yJ,A Talk,2014-07-28,day,0.586,0.916,9,-1.83,1,0.0712,0.0027,0,0.402,0.537,163.787,4,HyunA,NA,NA,NA,NA,NA,NA,NA
Change (Feat. Jun Hyung Yong From BEAST),HyunA,NA,NA,211333,FALSE,6kFDvPj3FVpQ90HZ5PacxE,42,0qtB7YKqjdu1F9uwKgE29L,Change,2010-01-04,day,0.874,0.79,1,-4.376,1,0.0521,0.0124,0,0.11,0.623,125.029,4,HyunA,Jun Hyung Yong From BEAST,NA,NA,NA,NA,NA,NA
SICKO MODE,Travis Scott,NA,NA,312820,TRUE,2xLMifQCjDGFmkHkpNLD9h,85,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,day,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4,Travis Scott,NA,NA,NA,NA,NA,NA,NA
"Party, Feel, Love (Feat. DAWN)",HyunA,NA,NA,209560,FALSE,2qR6lpnGS9AldPdElbzJ53,51,3aqj5OK6GGIZ1Bejw7g0JW,I’m Not Cool,2021-01-28,day,0.776,0.46,5,-6.504,0,0.327,0.432,7.96e-6,0.154,0.325,140.011,4,HyunA,DAWN,NA,NA,NA,NA,NA,NA
GOOD GIRL,HyunA,NA,NA,185400,FALSE,5iMcihnPLMICfFhg3H694w,52,3aqj5OK6GGIZ1Bejw7g0JW,I’m Not Cool,2021-01-28,day,0.812,0.868,0,-3.483,1,0.194,0.00854,5.19e-5,0.0569,0.756,117.97,4,HyunA,NA,NA,NA,NA,NA,NA,NA
I'm Not Cool,HyunA,NA,NA,174173,FALSE,7xTOqnsOV6qHBPWoCWpzGM,63,3aqj5OK6GGIZ1Bejw7g0JW,I’m Not Cool,2021-01-28,day,0.883,0.845,11,-2.069,1,0.0585,0.0161,0.00157,0.29,0.656,116.004,4,HyunA,NA,NA,NA,NA,NA,NA,NA
JUMPER,CAPSULE,NA,NA,415946,FALSE,45hgtWOyLVz3OhCh5r34cs,26,7uNyQd3LR7HKGPgaQVMQ0b,MORE! MORE! MORE!,2008-11-19,day,0.546,0.913,1,-2.372,1,0.0772,0.0292,1.26e-5,0.306,0.547,130.011,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
PRIME TIME,CAPSULE,NA,NA,342986,FALSE,38Alm1KhhG02tEivIa5OsY,11,34MCLe0NFSmsmUPiIyZjS7,WORLD OF FANTASY,2011-05-25,day,0.634,0.962,5,-1.885,0,0.0783,4.32e-4,1.65e-4,0.299,0.451,127.955,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
I CANT SAY I LIKE YOU,CAPSULE,NA,NA,217946,FALSE,5KCj0CljmfY3fGjPaIiJge,5,34MCLe0NFSmsmUPiIyZjS7,WORLD OF FANTASY,2011-05-25,day,0.797,0.963,6,-1.739,1,0.0689,8.03e-4,0.768,0.0491,0.582,127.988,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
I WILL,CAPSULE,NA,NA,337826,FALSE,3TRkR14Vm36koMJJUw6Gzg,6,34MCLe0NFSmsmUPiIyZjS7,WORLD OF FANTASY,2011-05-25,day,0.661,0.961,6,-1.617,1,0.0441,0.0273,0.228,0.123,0.124,127.991,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
WORLD OF FANTASY,CAPSULE,NA,NA,371200,FALSE,0tuYwPS2uGZjaePLMI3JQr,12,34MCLe0NFSmsmUPiIyZjS7,WORLD OF FANTASY,2011-05-25,day,0.564,0.994,11,-0.943,1,0.0614,0.00711,0.493,0.145,0.187,128.009,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
Night Running (Feat. John Park),youra,NA,NA,240315,FALSE,2LYxkc8JPY6zrelYGnBI1p,27,6h4kFvqwwvpMqrqfoeRknh,dot,2020-02-23,day,0.785,0.585,1,-7.115,1,0.038,0.0692,0.00119,0.392,0.463,89.986,4,youra,John Park,NA,NA,NA,NA,NA,NA
More (Feat. Giriboy),youra,NA,NA,174691,FALSE,5jJwjg6uSHLiEm6Qly9Yhg,24,6h4kFvqwwvpMqrqfoeRknh,dot,2020-02-23,day,0.798,0.531,2,-5.054,1,0.0541,0.0146,3.05e-6,0.116,0.55,117.968,4,youra,GIRIBOY,NA,NA,NA,NA,NA,NA
Player,CAPSULE,NA,NA,450440,FALSE,4d2oQppedfGWeokTrmPofi,9,0cuYDX4CorPYfFTvzgQwG8,PLAYER,2010-03-03,day,0.737,0.979,6,-2.187,1,0.0875,0.155,0.0155,0.124,0.736,130.004,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
Love or Lies,CAPSULE,NA,NA,318826,FALSE,1BCnNFVPXk8PDfIFmkWnak,23,0cuYDX4CorPYfFTvzgQwG8,PLAYER,2010-03-03,day,0.657,0.945,1,-3.73,0,0.0444,0.0148,0.0586,0.351,0.705,127.987,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
What do you want to do,CAPSULE,NA,NA,323893,FALSE,03tKRbNpIgWajigrklTFf8,6,0cuYDX4CorPYfFTvzgQwG8,PLAYER,2010-03-03,day,0.742,0.796,0,-3.342,0,0.095,7.04e-4,0.302,0.0483,0.508,132.038,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
